Otu3,Otu6,Otu8,Otu22,Otu23,Otu40,Otu55,Otu61,Otu63,Otu70,Otu92,Otu105,Otu108,Otu112,Otu122,Otu124,Otu145,Otu212,Otu217,Otu290,class
0.000843,0.000169,0.073306,0,0,0.222447,0.272666,0,0.004382,0.028817,0.331817,0.015335,0,0.027637,0.016515,0,0,0.000506,0.000337,0.005224,F
0.006995,0.001166,0.711746,0,0.000874,0.019528,0.027397,0,0.012533,0.000583,0.136695,0.009618,0.000874,0.060624,0,0.00204,0.003206,0.000291,0.001749,0.00408,F
0.005028,0.009697,0.390375,0,0,0,0.068055,0.00018,0,0,0.027474,0,0.013647,0,0,0.471,0,0.001077,0,0.013467,F
0.001422,0.0016,0.030756,0,0.010667,0.202489,0.010667,0,0.274311,0.0288,0.108267,0.009422,0.000178,0.012978,0.001422,0.301689,0,0.001244,0,0.004089,F
0.006742,0.004494,0.253933,0.004494,0.534831,0.004494,0.004494,0,0.022472,0,0.002247,0.017978,0,0,0.038202,0,0.067416,0.035955,0,0.002247,M
0.000244,0.061142,0.866976,0,0.00659,0,0.000122,0,0,0,0,0.013302,0.000366,0,0,0.002929,0,0.000244,0.046497,0.001587,M
0.001253,0,0.164411,0,0.00589,0.130201,0.013409,0.543233,0.013784,0.001253,0.027569,0.000627,0.041729,0.013659,0.027444,0.004887,0.004887,0.000251,0.003008,0.002506,M
0.000138,0,0.805828,0,0,0.004419,0.000138,0,0.000691,0.001657,0.162685,0.002072,0.022096,0.000138,0.000138,0,0,0,0,0,M
0,0,0.305742,0.182314,0.025356,0.001467,0.000629,0,0.00021,0,0.036044,0.007963,0,0.07083,0,0.363789,0.00021,0.002724,0,0.002724,M
0.031722,0.001511,0.10423,0,0,0,0,0,0,0.012085,0.39577,0,0,0,0,0,0.145015,0.10423,0.205438,0,M
0.000831,0.008313,0.04281,0,0,0.268495,0.187864,0.205736,0.112219,0.068579,0.010391,0,0,0,0.0266,0.002494,0.055694,0.000416,0.008728,0.000831,M
0,0.036184,0.111842,0.019737,0.713816,0.023026,0.001645,0,0.011513,0.001645,0,0.004934,0,0.004934,0.001645,0,0,0.064145,0,0.004934,M
0,0.003632,0.771186,0,0.032688,0.009685,0.016949,0,0.012107,0,0.038741,0.01937,0.003632,0,0,0.008475,0,0.083535,0,0,F
0.001218,0.095006,0.590134,0,0.100487,0.040195,0.013398,0,0.024361,0.000305,0.035932,0.019184,0.008222,0.000914,0.000609,0.03989,0,0.020402,0.00335,0.006395,M
0,0,0.076599,0.311856,0.000468,0.077067,0.000312,0,0.001092,0,0.090484,0.119657,0.227145,0.018097,0.002964,0.068175,0,0.000468,0.000156,0.00546,M
0,0.000271,0.147274,0,0.401139,0.242202,0.037971,0,0.018714,0,0.025224,0.065907,0.000271,0.038242,0.010306,0.001899,0,0,0,0.010578,M
0,0,0.95546,0,0,0,0,0,0.043642,0,0,0,0,0,0,0,0,0.000898,0,0,M
0.000808,0.166397,0.582391,0.000808,0.12601,0,0,0.000808,0,0,0,0,0,0.000808,0,0,0,0.108239,0.013732,0,M
0.004259,0.006814,0.201022,0,0,0,0.017036,0.026405,0.03833,0.029813,0.174617,0.0954,0.034923,0.017036,0,0.297274,0,0.01448,0.002555,0.040034,F
0.031746,0,0.301587,0,0,0,0,0,0.047619,0,0.507937,0,0,0,0,0,0,0,0.111111,0,F
0.008721,0.020349,0.648256,0,0.002907,0.014535,0.06686,0.127907,0,0,0,0.005814,0.002907,0.031977,0,0,0.002907,0,0,0.06686,M
0.000478,0.000956,0.062649,0,0.163558,0.10856,0.071736,0.002391,0.186992,0.007174,0.025825,0.056432,0.028216,0.049259,0.072692,0.037303,0.025825,0.02726,0.001435,0.071258,M
0.024868,0.129637,0.697513,0,0.016714,0,0,0,0,0,0,0,0.083163,0,0,0,0,0.048104,0,0,F
0.001431,0.040057,0.170243,0.001431,0.668097,0.002861,0,0,0,0,0,0,0,0,0.007153,0.001431,0.040057,0.067239,0,0,F
0.022472,0,0.878997,0,0.000432,0.003457,0.011236,0.000432,0.001729,0,0.013397,0.017286,0.029818,0.007347,0,0.003025,0,0,0.003889,0.006482,M
0.000505,0.006559,0.17331,0.254541,0.013623,0.308779,0.017911,0.000252,0.000757,0,0.020686,0.009586,0,0.038597,0.034309,0.032038,0.073915,0.009586,0.001261,0.003784,F
0,0.019318,0.018085,0,0.000411,0.553432,0.203453,0.056515,0.029388,0.011097,0.009042,0.001233,0,0,0.013564,0.000411,0.079942,0.003288,0.000206,0.000617,M
0.036608,0,0.95063,0,0,0.001008,0.000504,0.00084,0.000336,0.000168,0,0,0,0,0,0.000168,0.000168,0.009572,0,0,M
0.044737,0.000432,0.666523,0,0,0.000864,0.055544,0.000216,0.062459,0,0.001297,0,0.055327,0.014048,0,0.000432,0,0.000216,0.09142,0.006484,M
0.000214,0.00641,0.209615,0,0.000214,0.342308,0.000641,0,0.118376,0.00406,0.079487,0.017094,0.02265,0,0.036325,0.146154,0,0.000641,0,0.015812,M
0,0.016175,0,0.382493,0,0,0.047574,0,0.160799,0.045671,0.172217,0.015224,0.038059,0.022835,0.017127,0,0.073264,0,0.008563,0,F
0.000258,0.000129,0.305857,0,0,0.117131,0.062178,0.000258,0.265609,0.003225,0.051084,0.022446,0,0.096491,0.031605,0.006708,0.017673,0.000258,0.008514,0.010578,M
0.003235,0.001047,0.268056,0.153583,0,0.302598,0.07917,0.000095,0.005043,0.002284,0.103435,0.007993,0.002664,0,0.050528,0.000095,0.000095,0,0.001808,0.01827,M
0.003325,0.000391,0.061015,0.357387,0,0.215704,0.000098,0.00352,0.108732,0.104821,0.026107,0.022978,0.009387,0.006942,0.000293,0.06698,0,0.000098,0.001173,0.011049,M
0,0.021813,0.069333,0.118411,0,0,0.194235,0,0.23838,0.043885,0.077123,0,0,0.096598,0.035575,0.090626,0,0.003376,0,0.010647,M
0,0.168081,0.059423,0,0.152801,0.037351,0,0,0,0,0.057725,0,0.171477,0,0,0.001698,0.244482,0.106961,0,0,F
0.001145,0.00687,0.16145,0.003053,0.01145,0,0.000382,0.001527,0.000382,0,0,0.000382,0.008015,0,0,0.715649,0.070611,0.011069,0.008015,0,M
0,0,0.718774,0,0,0,0.152969,0,0.001901,0,0.003466,0.039472,0,0,0,0.000224,0,0,0.083194,0,M
0.002381,0.284048,0.106429,0.481429,0.003333,0,0.020476,0.002143,0.034762,0,0.01119,0.030476,0.000714,0.000714,0,0.021667,0.000238,0,0,0,F
0.000511,0.001023,0.047051,0.68701,0,0.000682,0.000852,0,0.001023,0.099386,0.029151,0.005967,0.001193,0,0.05404,0.066485,0.004262,0.001023,0,0.000341,F
0,0.003369,0.177428,0,0.290848,0.170129,0.008984,0,0.117911,0.020775,0.099382,0.017406,0.051656,0,0.005615,0.002807,0.02639,0.007299,0,0,M
0,0,0.071519,0,0,0.662025,0.000633,0.003165,0.167089,0.017722,0.013291,0,0,0.000633,0.014557,0.034177,0.012658,0.002532,0,0,M
0,0.092863,0,0.259673,0,0.00086,0,0,0.126397,0,0.021496,0.030954,0.195185,0,0.007739,0,0.22356,0.040413,0,0.00086,M
0,0,0.155303,0.001894,0.004735,0.258049,0.019413,0,0.005682,0.003314,0.110795,0.121212,0.172348,0,0.016098,0.075284,0.006155,0.031723,0,0.017992,F
0.000565,0.003106,0.44479,0,0.044055,0,0.007907,0.040666,0.013838,0,0.001412,0.153064,0,0.019486,0,0.039819,0.057046,0.17368,0.000565,0,F
0,0.00222,0.634317,0,0.177926,0.000317,0.006026,0,0.001269,0,0.154456,0,0,0,0,0,0,0.017761,0,0.005709,M
0,0.142605,0.215085,0,0,0.208603,0.087213,0.026517,0.004714,0.006482,0.005303,0.002946,0.013553,0,0.014732,0.010018,0.256924,0.001179,0,0.004125,M
0,0,0.179411,0.000166,0,0.388282,0.031778,0.001159,0.219133,0,0.020026,0.032771,0.027309,0.030619,0.047004,0.00149,0,0,0.000497,0.020357,M
0.002536,0.000158,0,0.316482,0.000317,0,0,0.008399,0.080666,0.000317,0.02187,0,0.487639,0,0,0,0.078922,0,0.000792,0.001902,M
0.057681,0.001131,0.856927,0,0.009048,0.053534,0.000754,0.006598,0,0,0.00754,0.000566,0,0.002828,0,0,0.002262,0,0.001131,0,M
0,0,0.256359,0,0.038951,0.000795,0,0.000795,0.298887,0,0.17806,0,0.055644,0.000397,0,0.02663,0,0.133545,0.003975,0.005962,F
0.002461,0.001538,0.000615,0,0.000308,0,0.018763,0.914795,0.004614,0.006767,0.011996,0.005537,0,0,0.01538,0,0.01538,0.000615,0.000308,0.000923,M
0,0.009217,0.471198,0.074885,0.017281,0.013825,0.009217,0,0.103687,0.004608,0.026498,0.25,0,0,0.010369,0,0,0.00576,0.003456,0,M
0.007837,0.003918,0.246865,0,0.000784,0.001567,0.003135,0,0.001567,0.000784,0.214734,0.115987,0.333072,0.003918,0,0.017241,0,0.039185,0.005486,0.003918,F
0,0.002367,0.255621,0,0.248521,0.097041,0,0.060355,0.257988,0.048521,0.008284,0,0.00355,0,0.007101,0,0.004734,0.004734,0,0.001183,M
0,0.021408,0.027606,0.310986,0.002817,0.312676,0.040563,0,0.110986,0,0.024225,0.021408,0.055775,0.007887,0.033803,0.008451,0,0.016338,0,0.00507,F
0,0.001022,0.019414,0.026567,0,0.576635,0,0.029973,0.157357,0.00545,0.010559,0.011921,0,0.003406,0.071526,0.009877,0.046662,0.000341,0,0.029292,M
0,0.023548,0.55102,0,0.037677,0,0,0.00471,0.144427,0,0.186813,0,0,0.023548,0.00471,0,0,0.006279,0.014129,0.00314,F
0,0.000311,0.111836,0,0,0.041317,0.181423,0.000932,0.158745,0.027959,0.017086,0.160298,0.04287,0.072072,0.036036,0.100652,0,0.000311,0.001864,0.046288,M
0.00026,0.000779,0.003634,0.000519,0.992991,0,0.00026,0,0,0,0.001038,0,0.00026,0,0,0,0.00026,0,0,0,M
0.002497,0.183521,0.042447,0.033708,0,0.207241,0.007491,0,0.263421,0,0.034956,0.014981,0.003745,0.006242,0.008739,0,0.164794,0.001248,0.019975,0.004994,M
0,0.000212,0.429117,0.016978,0.014643,0.004881,0.001273,0.369482,0.00573,0.003183,0.035017,0.000849,0.000424,0.055603,0.007852,0,0.013795,0.000212,0.012097,0.02865,M
0,0.00551,0.453168,0.038567,0.151515,0,0,0,0.008264,0,0.103306,0,0.004132,0,0,0.001377,0,0.147383,0.066116,0.020661,F
0.01232,0.006336,0.783527,0,0.006688,0,0,0.013376,0.097149,0,0.009856,0.002112,0,0,0,0,0.035551,0.000352,0,0.032735,M
0,0.28125,0.43125,0,0,0,0.003125,0,0.04375,0.002083,0.110417,0,0.011458,0.047917,0,0.016667,0.002083,0,0.042708,0.007292,F
0.030435,0.013043,0.082609,0,0.034783,0.052174,0.026087,0,0,0,0.243478,0,0.234783,0,0.047826,0,0.069565,0.030435,0.134783,0,F
0.014235,0.010676,0.580071,0,0.007117,0,0,0,0.021352,0.096085,0,0,0,0,0.085409,0.145907,0,0.032028,0,0.007117,M
0.163743,0.187135,0.649123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0.023962,0.080671,0.363419,0,0,0,0.026358,0,0.036741,0,0.017572,0.021565,0.242013,0,0.054313,0,0,0.103035,0,0.030351,F
0,0,0.065248,0,0,0.000946,0.038298,0.056265,0.072813,0.002364,0.38487,0.074232,0.143735,0.035461,0.063357,0.055792,0,0.000473,0.001418,0.004728,F
0,0.00642,0.142222,0.015309,0,0.01284,0.13679,0,0,0.000988,0.444938,0,0.011852,0.001975,0.01037,0.002963,0.210864,0.000988,0,0.001481,M
0.001055,0.002955,0.210215,0,0,0,0.074715,0,0,0.052554,0.247362,0.081047,0.066484,0.000633,0.031026,0.199662,0.000211,0.002322,0.009287,0.020473,F
