Otu9,Otu11,Otu34,Otu36,Otu39,Otu66,Otu72,Otu74,Otu91,Otu100,Otu134,Otu135,Otu139,Otu145,Otu149,Otu156,Otu188,Otu245,Otu246,Otu256,Otu257,Otu282,Otu292,Otu314,Otu316,Otu318,Otu354,Otu364,Otu370,Otu425,Otu436,Otu443,Otu468,Otu501,Otu513,Otu540,Otu596,Otu603,Otu702,Otu1029,class
0,0,0,0,0.14094,0.0783,0,0.234899,0.033557,0.002237,0.011186,0,0,0.071588,0,0.149888,0.073826,0.008949,0,0.022371,0.035794,0,0.008949,0.038031,0,0,0.040268,0.004474,0,0,0,0,0,0,0.011186,0,0,0,0.03132,0.002237,Germany
0.066362,0,0,0,0,0,0,0,0,0.121281,0,0,0,0.176201,0,0,0,0.475973,0,0,0,0,0,0,0,0,0.075515,0,0,0,0.084668,0,0,0,0,0,0,0,0,0,Germany
0.056281,0,0.111558,0,0.01206,0.00603,0.026131,0,0.01206,0.062312,0.035176,0.035176,0,0.117588,0,0.318593,0,0,0.017085,0.020101,0,0,0,0,0,0,0.01206,0.00201,0,0,0,0.107538,0,0,0.048241,0,0,0,0,0,Germany
0.002323,0.004646,0,0,0.002323,0.004646,0.012776,0.932636,0.001161,0,0.001161,0,0.02439,0,0,0,0.001161,0,0,0,0,0,0,0,0,0,0.005807,0,0,0,0.006969,0,0,0,0,0,0,0,0,0,Germany
0.001456,0,0.057282,0,0,0.125728,0.001456,0.010194,0.003883,0,0.031068,0.132524,0.001942,0.254369,0,0.021359,0.05,0,0,0.012136,0.047573,0.001942,0,0.160194,0,0,0.014563,0.000485,0.004369,0.019903,0.015049,0.001942,0.002913,0.01068,0.005825,0,0,0.006796,0.003883,0.000485,Germany
0.555556,0.016667,0,0.355556,0,0,0.033333,0,0,0.022222,0.016667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.022746,0,0.012637,0.026959,0,0.002527,0.01011,0.453243,0,0.002527,0.021061,0.312553,0.009267,0.053075,0.007582,0.001685,0.010952,0,0,0.005055,0.015164,0,0,0.00674,0,0,0,0,0,0.000842,0,0.001685,0.014322,0.005055,0,0,0,0.001685,0.002527,0,Germany
0.014388,0.003597,0,0.093525,0.129496,0.010791,0,0.043165,0,0.028777,0,0,0.665468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010791,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.000974,0,0,0.031179,0.00812,0,0.527769,0.121143,0.015589,0,0,0.001624,0.122767,0.068854,0.019162,0.004547,0.026957,0.000974,0,0.00065,0.010393,0,0.001299,0.005196,0,0,0.008769,0,0,0.005846,0.003248,0.000325,0.00065,0.00065,0.013316,0,0,0,0,0,Germany
0.002921,0,0,0.002921,0,0,0.029211,0,0,0,0.258033,0,0.091529,0.001947,0,0.142162,0.090555,0,0,0.019474,0,0.315482,0,0,0,0,0.012658,0,0,0,0,0.009737,0,0.023369,0,0,0,0,0,0,Germany
0,0,0.012103,0,0.01059,0.009077,0.02118,0.081694,0.069592,0,0.157337,0.036309,0.009077,0.145234,0.024206,0.048411,0,0.065053,0,0.083207,0.02118,0,0.004539,0.090772,0,0,0.015129,0,0,0.04236,0,0.019667,0.007564,0.003026,0.018154,0,0.004539,0,0,0,Germany
0.076923,0,0,0,0,0.384615,0,0,0,0,0,0.153846,0,0,0,0.384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0,0.189189,0,0,0,0,0,0,0,0.135135,0.081081,0,0,0,0,0,0.027027,0,0,0,0,0,0,0,0,0,0,0,0.567568,0,0,0,0,0,0,0,0,0,0,0,Germany
0,0.098039,0,0,0,0.137255,0,0.411765,0,0,0,0,0.176471,0,0,0.176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.00346,0,0,0.031142,0.00346,0,0,0,0.031142,0,0.072664,0,0.013841,0,0,0,0,0,0,0.252595,0,0.245675,0,0,0,0,0.048443,0,0.280277,0,0.00692,0,0,0.010381,0,0,0,0,0,0,Germany
0.007317,0,0,0.002439,0.097561,0,0.00061,0,0.016463,0,0.453659,0,0,0.064024,0.096951,0.046951,0.032927,0,0.004268,0.010366,0.065854,0,0.037195,0,0,0,0,0.007317,0.008537,0,0.009146,0,0.037805,0,0,0,0,0,0,0.00061,Germany
0.005795,0,0,0.004139,0,0,0.036424,0.004967,0.019868,0,0.538079,0,0.022351,0,0,0.121689,0.107616,0,0,0,0,0.051325,0,0,0,0,0.038907,0,0,0,0,0.000828,0,0,0,0.006623,0,0,0.041391,0,Germany
0.333333,0,0,0.033592,0.007752,0,0,0,0,0.183463,0,0,0,0,0,0,0,0.010336,0,0.005168,0,0,0,0,0,0,0.165375,0,0,0,0.178295,0.080103,0,0,0,0,0.002584,0,0,0,Germany
0.000912,0.285584,0.006387,0.000912,0.094434,0.016423,0.036953,0.001369,0.01323,0,0.033759,0.002281,0.008212,0.037865,0.01323,0.059763,0.096259,0.034672,0.003193,0.060675,0.029197,0.018704,0.013686,0.01688,0,0.000456,0.020073,0.000912,0.013686,0.011405,0.010036,0,0.012774,0.008212,0.024179,0.002737,0.002281,0.001369,0.007299,0,Germany
0,0,0.002353,0,0.127843,0.113725,0.007843,0,0.059608,0,0.10902,0.003137,0.041569,0,0,0.072941,0.16,0,0,0,0.08,0.000784,0,0,0,0,0.004706,0,0.054902,0.001569,0,0,0,0.092549,0.00549,0,0,0.009412,0.052549,0,Germany
0,0,0,0.020115,0.369253,0.320402,0.010057,0,0.001437,0,0.001437,0,0,0.056034,0.001437,0.150862,0.00431,0.015805,0,0,0.002874,0,0,0,0,0,0,0,0,0.001437,0,0.00431,0.002874,0,0.021552,0.011494,0,0,0.00431,0,Germany
0,0.006042,0.004532,0.002266,0.026435,0.007553,0.057402,0.147281,0.206949,0,0.030211,0.001511,0.015106,0,0.000755,0.167674,0,0,0,0.008308,0.000755,0.191843,0.009819,0.000755,0,0,0,0,0.05136,0,0,0,0,0.042296,0.016616,0,0,0,0.004532,0,Germany
0.003848,0.044036,0,0.000428,0,0,0,0.005985,0.09876,0,0.428816,0,0,0.054724,0.009833,0,0.092347,0,0,0.006841,0.076956,0.006413,0.00342,0.002993,0,0,0.009406,0.047029,0.008551,0.012826,0,0,0.000855,0.058572,0,0.017529,0,0,0.009833,0,Germany
0,0,0,0,0,0,0,0.705882,0,0,0,0.058824,0,0,0.058824,0,0,0,0,0,0,0,0,0,0.176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.00627,0,0,0,0.034483,0,0.831766,0,0.003135,0.001045,0,0.00627,0.00418,0,0,0.007315,0.033438,0,0,0.001045,0.044932,0,0.003135,0.00418,0,0,0.00627,0,0.007315,0,0,0,0.003135,0,0,0,0,0.00209,0,0,Germany
0.330275,0,0,0,0,0.087156,0.013761,0.481651,0,0,0,0,0.009174,0,0,0,0.009174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068807,0,0,0,0,0,0,0,0,Germany
0,0,0,0,0.035772,0,0.029268,0,0,0,0.006504,0.830894,0.076423,0,0,0,0.021138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.00142,0.045083,0.025914,0.000355,0.031239,0.046503,0,0.00355,0.023429,0,0.108981,0.000355,0.000355,0.085907,0.036919,0.099397,0.084842,0.023074,0.014909,0.071353,0.030174,0.019169,0.015974,0.039759,0.00284,0.00071,0.009585,0.00071,0.011005,0.029819,0.023784,0,0.047923,0.018104,0.028399,0.008165,0,0.00426,0.006035,0,Germany
0.13715,0.001789,0,0.193798,0,0.035182,0.019082,0.000596,0.020871,0.014311,0.001193,0,0,0,0,0.02743,0,0.011926,0,0,0,0.019678,0,0,0,0,0.515206,0,0,0,0,0,0.001789,0,0,0,0,0,0,0,Germany
0,0,0,0,0,0,0.029703,0,0,0,0,0.970297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.005059,0.408938,0,0.001686,0.001686,0.001686,0.001686,0,0.005059,0.009275,0,0,0.000843,0,0,0,0.075885,0.026981,0,0.008432,0,0,0,0,0,0,0,0,0.291737,0,0,0,0,0.160202,0,0,0,0,0,0.000843,Germany
0.074169,0,0,0.015345,0.314578,0.043478,0.076726,0,0.005115,0,0,0,0.094629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375959,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0,0,0,0,0.362069,0.094828,0.00431,0,0.487069,0,0.008621,0.008621,0.00431,0.00431,0,0,0,0,0,0,0.00431,0,0,0,0,0,0.012931,0,0.008621,0,0,0,0,0,0,0,0,0,0,0,Germany
0,0,0,0,0,0.008427,0.194757,0,0,0,0.302434,0.013109,0.367978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012172,0,0.101124,0,0,0,0,0,0,Germany
0.196415,0,0,0.060795,0,0,0,0,0.305534,0.010133,0.207327,0,0.009353,0,0,0,0.043648,0,0,0.022603,0,0,0,0,0,0,0.09431,0.012471,0,0,0.031177,0.006235,0,0,0,0,0,0,0,0,Germany
0.0625,0.25,0,0,0.125,0,0.1875,0.0625,0,0,0,0.1875,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0,0,0,0,0.009427,0.30741,0.018853,0.020162,0.079602,0,0.237235,0,0.003666,0.053679,0.006023,0.051846,0.072532,0.015973,0.002095,0.006546,0.031684,0.008641,0.003928,0.026447,0,0,0,0.005761,0.003404,0.009165,0.012831,0.002095,0.001833,0.001309,0.006284,0,0,0,0.001571,0,Germany
0.001667,0.001667,0,0,0,0,0,0,0,0.003333,0.006667,0.02,0.925,0.003333,0.001667,0,0,0,0,0,0.031667,0,0.003333,0,0,0,0,0.001667,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.00127,0,0,0.000635,0.000635,0,0.727619,0.252063,0,0.001905,0,0.000635,0.00127,0,0,0.000635,0,0.012063,0,0,0,0,0,0,0,0,0,0,0.000635,0,0,0.000635,0,0,0,0,0,0,0,0,Germany
0,0,0,0,0.04918,0.04918,0.172131,0,0.204918,0,0.008197,0.139344,0.016393,0.090164,0,0,0.065574,0,0,0,0.040984,0,0.016393,0.065574,0,0,0,0.008197,0.016393,0.02459,0.032787,0,0,0,0,0,0,0,0,0,Germany
0,0,0,0,0.29021,0.031469,0.304196,0,0,0,0,0,0.374126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.015957,0,0,0.021277,0.117021,0.031915,0,0.095745,0.164894,0,0.031915,0.042553,0.090426,0,0,0.329787,0.021277,0,0,0,0,0.005319,0,0,0,0,0.005319,0,0,0,0,0,0,0.026596,0,0,0,0,0,0,Germany
0.00395,0.000658,0.013167,0,0.132324,0,0.002633,0,0.107966,0,0.271889,0.01185,0.001975,0.01975,0.001317,0.061883,0.102699,0.01185,0,0.071758,0.019092,0.073733,0,0,0,0,0.004608,0,0.009217,0.028308,0,0,0.003292,0.018433,0.0079,0,0,0.018433,0.001317,0,Germany
0.333333,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.002874,0,0,0.002874,0.112069,0.086207,0.04023,0.025862,0,0,0.022989,0,0.002874,0.112069,0.123563,0.017241,0.043103,0.020115,0,0.014368,0.025862,0.020115,0.025862,0.025862,0,0.011494,0.028736,0,0.020115,0.002874,0.037356,0,0.112069,0,0.008621,0.022989,0.005747,0.020115,0.005747,0,Germany
0,0,0,0.135965,0,0,0,0.75,0,0,0,0.114035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.007812,0,0,0,0,0.007812,0.645833,0,0,0,0.03125,0.007812,0.169271,0.002604,0,0.078125,0,0.002604,0,0.010417,0,0,0,0,0,0,0,0.018229,0,0,0,0.018229,0,0,0,0,0,0,0,0,Germany
0.116691,0,0,0,0.088626,0.001477,0,0,0.143279,0,0.085672,0.002954,0,0.141802,0,0.273264,0.008863,0,0,0.002954,0.011817,0,0,0,0.007386,0.041359,0.01034,0,0,0,0.062038,0,0,0,0.001477,0,0,0,0,0,Germany
0.000803,0.405221,0.006426,0,0.027309,0.007229,0.009237,0.126506,0.017671,0,0.038554,0,0.012851,0.053815,0.012851,0.024096,0.017269,0.014056,0.022088,0.00241,0.010843,0.027309,0.004418,0.024096,0,0,0.031325,0,0.007229,0.010843,0.005221,0,0.02008,0.04739,0.004418,0,0.000803,0.001205,0.006426,0,Germany
0.021871,0,0,0,0.010936,0.018226,0,0.003645,0.061968,0.009721,0.690158,0,0.057108,0,0,0,0,0,0,0,0,0,0.009721,0,0.008505,0,0.020656,0.032807,0.018226,0,0,0.001215,0,0,0,0.032807,0,0,0,0.00243,Germany
0.028846,0,0,0,0,0.543269,0,0.014423,0.009615,0,0.096154,0,0.009615,0,0,0.129808,0.144231,0,0,0.024038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.002347,0,0,0.002347,0,0,0.00939,0.741784,0.007042,0,0.007042,0.014085,0,0,0,0,0.014085,0,0,0,0,0,0,0,0,0,0.014085,0,0.183099,0,0,0.002347,0,0,0,0,0,0.002347,0,0,Germany
0,0.026144,0,0,0,0.039216,0,0.228758,0,0,0.045752,0,0.006536,0,0,0.013072,0.124183,0.006536,0,0.176471,0.026144,0.013072,0.006536,0.039216,0,0.019608,0.026144,0,0,0.071895,0.065359,0,0,0,0.026144,0.019608,0,0.019608,0,0,Germany
0.005231,0,0,0,0.083697,0,0.065388,0.216216,0,0.034002,0.020052,0.000872,0.092415,0,0,0,0,0.199651,0,0,0,0,0.236269,0,0.003487,0,0,0.020924,0,0,0,0.021796,0,0,0,0,0,0,0,0,Germany
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.013667,0.066059,0,0.002278,0.013667,0,0.000759,0,0.008352,0,0.507213,0.000759,0.003797,0,0,0,0,0,0,0.277904,0,0,0,0,0,0,0.015186,0,0.063781,0.015186,0,0.006074,0,0,0,0,0,0.005315,0,0,Germany
0.018321,0.003053,0.00458,0.033588,0,0,0.003053,0,0,0.003053,0.019847,0.019847,0,0,0,0.19084,0.029008,0.003053,0,0.053435,0,0.067176,0,0,0,0,0.100763,0.003053,0.221374,0,0,0.00458,0,0.09313,0.006107,0,0,0.085496,0.036641,0,Germany
0,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0,0,0.181818,0.090909,0,0,0.363636,0.090909,0,0,0,0.090909,0,0.090909,0,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0.010566,0,0,0,0.006038,0.006792,0,0.101887,0.016604,0.005283,0.30717,0.000755,0,0.040755,0,0.341887,0.056604,0.008302,0,0.004528,0.055094,0.000755,0,0,0.003019,0.003019,0.013585,0,0.005283,0,0,0,0,0,0.003019,0.000755,0,0,0.000755,0.007547,Germany
0.002027,0,0,0.001521,0.016726,0.353269,0.010644,0,0.001521,0.001521,0.051191,0.001521,0.175874,0,0,0.029904,0.016726,0,0,0.001014,0,0.003041,0,0.160669,0,0,0.003548,0.029397,0,0,0.07552,0,0.063862,0,0,0,0,0,0.000507,0,Germany
0.013201,0,0,0,0,0,0,0,0,0.00055,0.185919,0.0022,0,0.015402,0.0044,0.013751,0.248075,0,0,0.181518,0.067107,0.09791,0.0044,0.007151,0,0,0.017602,0.00055,0.058856,0,0,0,0,0.0011,0,0.074257,0,0,0.006051,0,Germany
0,0.007942,0,0,0,0.950903,0,0.002888,0.000722,0,0.008664,0.002166,0.000722,0,0,0.002166,0.005054,0,0,0.005776,0.012274,0,0,0,0,0,0,0,0.000722,0,0,0,0,0,0,0,0,0,0,0,Germany
0.009832,0,0,0.001735,0.061307,0,0.016194,0,0.080393,0,0.261423,0.000578,0.047426,0.169462,0,0,0,0,0,0.172354,0,0.034702,0,0,0,0,0.015038,0,0.038172,0,0.041643,0.001157,0,0,0.029497,0,0,0.019086,0,0,Germany
0.043127,0,0,0.009434,0,0.031671,0,0.001348,0,0,0.022237,0,0.004717,0.262129,0.168464,0.003369,0.009434,0.020889,0,0.058625,0,0.197439,0,0.018868,0.020216,0,0.046496,0.003369,0,0.000674,0.066038,0,0.003369,0,0.007412,0,0,0,0,0.000674,Germany
0.088551,0,0,0.000894,0.110018,0.186941,0.195886,0,0,0,0.003578,0.039356,0.368515,0.000894,0,0.000894,0,0,0.000894,0,0,0.002683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000894,0,Germany
0.141176,0,0,0.258824,0,0,0,0,0,0,0.023529,0.564706,0,0,0,0,0,0,0,0,0,0.011765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
0,0,0,0,0.002611,0.315927,0.045692,0,0,0,0.019582,0,0.206266,0,0,0.159269,0.056136,0.01436,0,0.091384,0,0.011749,0.006527,0.041775,0,0,0,0,0.007833,0.002611,0,0,0,0,0.016971,0,0,0.001305,0,0,Germany
0,0.510337,0.032852,0,0.028887,0,0.002266,0,0.049844,0,0.054376,0,0.003682,0.021807,0.016709,0,0,0.052676,0.00708,0.024356,0.039649,0,0.003965,0.054092,0,0.014727,0.006231,0.000566,0.007363,0.000566,0.029453,0,0.013594,0,0.012744,0.010195,0.001982,0,0,0,Germany
0,0.006428,0.003673,0,0.004591,0.121212,0,0.277319,0,0,0.007346,0.000918,0,0.125803,0.012856,0.023875,0.013774,0.002755,0,0.011019,0.018365,0,0.000918,0.271809,0.004591,0.000918,0.001837,0.000918,0.000918,0.008264,0.013774,0,0.036731,0.006428,0.006428,0.011019,0.000918,0,0.000918,0.003673,Germany
0.157895,0,0,0,0,0,0,0,0,0,0.157895,0.052632,0,0.052632,0,0.315789,0.052632,0,0,0,0,0,0,0.157895,0.052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany
